transaction_id,branch_id,city,date,account_no,txn_type,amount,status,remarks
TXN317974,CHBR05,Chennai,2025-04-01,AC3611486,Credit,9195.84,Failed,Insufficient fund
TXN968805,CHBR05,Chennai,2025-04-01,AC1373805,Credit,7303.24,Failed,Insufficient fund
TXN866723,CHBR05,Chennai,2025-04-01,AC5899773,Debit,7545.53,Success,Withdrawal successful
TXN405493,CHBR05,Chennai,2025-04-01,AC6097937,Credit,2519.78,Failed,Transaction timeout
TXN318061,CHBR05,Chennai,2025-04-01,AC6677085,Debit,5982.22,Success,Withdrawal successful
TXN914272,CHBR05,Chennai,2025-04-01,AC9993365,Credit,3108.34,Failed,Account blocked
TXN658936,CHBR05,Chennai,2025-04-01,AC3886266,Credit,2587.2,Success,Payment received
TXN412847,CHBR05,Chennai,2025-04-01,AC6624239,Debit,5370.73,Failed,Insufficient fund
TXN679148,CHBR05,Chennai,2025-04-01,AC6149666,Debit,2210.87,Failed,Insufficient fund
TXN277620,CHBR05,Chennai,2025-04-01,AC5081623,Credit,7288.0,Success,Amount credited
TXN361439,CHBR05,Chennai,2025-04-01,AC8671769,Debit,4335.31,Success,Payment received
TXN550109,CHBR05,Chennai,2025-04-01,AC6718920,Credit,4807.52,Failed,Insufficient fund
TXN434725,CHBR05,Chennai,2025-04-01,AC2166435,Credit,1370.67,Success,Amount credited
TXN212884,CHBR05,Chennai,2025-04-01,AC6995482,Credit,2487.15,Success,Amount credited
TXN659042,CHBR05,Chennai,2025-04-01,AC4363352,Credit,5150.27,Success,Withdrawal successful
TXN654492,CHBR05,Chennai,2025-04-01,AC3756546,Debit,911.32,Success,Withdrawal successful
TXN726303,CHBR05,Chennai,2025-04-01,AC8375283,Debit,8606.64,Success,Withdrawal successful
TXN426173,CHBR05,Chennai,2025-04-01,AC2618000,Credit,6604.85,Failed,Transaction timeout
TXN832204,CHBR05,Chennai,2025-04-01,AC6208157,Debit,4473.3,Success,Amount credited
TXN711699,CHBR05,Chennai,2025-04-01,AC4266709,Credit,868.12,Success,Amount credited
TXN608193,CHBR05,Chennai,2025-04-01,AC5079566,Credit,3974.17,Success,Payment received
TXN964284,CHBR05,Chennai,2025-04-01,AC9780372,Credit,1310.06,Success,Payment received
TXN801583,CHBR05,Chennai,2025-04-01,AC3144258,Debit,8201.82,Failed,Insufficient fund
TXN620766,CHBR05,Chennai,2025-04-01,AC9294903,Debit,204.56,Failed,Insufficient fund
TXN493402,CHBR05,Chennai,2025-04-01,AC4208419,Debit,8408.03,Failed,Account blocked
TXN515958,CHBR05,Chennai,2025-04-01,AC7440596,Credit,7739.15,Success,Payment received
TXN780906,CHBR05,Chennai,2025-04-01,AC8139084,Debit,6667.17,Failed,Account blocked
TXN990815,CHBR05,Chennai,2025-04-01,AC6462824,Credit,1362.37,Failed,Transaction timeout
TXN310109,CHBR05,Chennai,2025-04-01,AC8803315,Debit,169.5,Failed,Insufficient fund
TXN666258,CHBR05,Chennai,2025-04-01,AC3552780,Debit,8112.55,Failed,Transaction timeout
TXN321985,CHBR05,Chennai,2025-04-01,AC7504663,Debit,5298.82,Success,Withdrawal successful
TXN391412,CHBR05,Chennai,2025-04-01,AC7621712,Debit,9977.62,Failed,Transaction timeout
TXN158493,CHBR05,Chennai,2025-04-01,AC2478946,Debit,7247.35,Success,Amount credited
TXN776332,CHBR05,Chennai,2025-04-01,AC9449979,Debit,6608.57,Failed,Account blocked
TXN901204,CHBR05,Chennai,2025-04-01,AC2276960,Credit,4322.53,Success,Withdrawal successful
TXN749280,CHBR05,Chennai,2025-04-01,AC1798809,Credit,3144.38,Success,Withdrawal successful
TXN776984,CHBR05,Chennai,2025-04-01,AC3080750,Debit,4134.68,Success,Amount credited
TXN171259,CHBR05,Chennai,2025-04-01,AC5484829,Credit,1293.06,Failed,Account blocked
TXN765488,CHBR05,Chennai,2025-04-01,AC4779354,Debit,3711.46,Failed,Account blocked
TXN187689,CHBR05,Chennai,2025-04-01,AC8702547,Debit,333.83,Failed,Transaction timeout
TXN200128,CHBR05,Chennai,2025-04-01,AC3566444,Debit,3086.89,Success,Amount credited
TXN230813,CHBR05,Chennai,2025-04-01,AC6356107,Debit,266.33,Failed,Transaction timeout
TXN377426,CHBR05,Chennai,2025-04-01,AC9714932,Credit,3488.4,Failed,Insufficient fund
TXN100062,CHBR05,Chennai,2025-04-01,AC7296250,Debit,549.97,Success,Withdrawal successful
TXN871991,CHBR05,Chennai,2025-04-01,AC7078568,Debit,3283.1,Failed,Insufficient fund
TXN417727,CHBR05,Chennai,2025-04-01,AC3755386,Debit,9325.73,Success,Payment received
TXN548613,CHBR05,Chennai,2025-04-01,AC3958120,Debit,3412.75,Failed,Insufficient fund
TXN375987,CHBR05,Chennai,2025-04-01,AC2036182,Credit,6536.43,Success,Payment received
TXN312428,CHBR05,Chennai,2025-04-01,AC8459879,Debit,3908.87,Failed,Insufficient fund
TXN837584,CHBR05,Chennai,2025-04-01,AC9777639,Debit,8221.73,Failed,Transaction timeout
TXN172979,CHBR05,Chennai,2025-04-02,AC3527359,Debit,496.35,Failed,Transaction timeout
TXN817062,CHBR05,Chennai,2025-04-02,AC7696107,Debit,8139.15,Success,Payment received
TXN299317,CHBR05,Chennai,2025-04-02,AC2003075,Debit,1472.46,Success,Payment received
TXN294837,CHBR05,Chennai,2025-04-02,AC6091760,Debit,5254.03,Failed,Insufficient fund
TXN586390,CHBR05,Chennai,2025-04-02,AC1627605,Credit,216.38,Failed,Insufficient fund
TXN864602,CHBR05,Chennai,2025-04-02,AC2482157,Debit,344.64,Success,Amount credited
TXN596919,CHBR05,Chennai,2025-04-02,AC3574798,Debit,5402.16,Failed,Transaction timeout
TXN617180,CHBR05,Chennai,2025-04-02,AC3148394,Credit,5596.03,Success,Payment received
TXN326932,CHBR05,Chennai,2025-04-02,AC5265237,Debit,8558.7,Success,Amount credited
TXN344131,CHBR05,Chennai,2025-04-02,AC1705214,Debit,6631.15,Failed,Transaction timeout
TXN867048,CHBR05,Chennai,2025-04-02,AC2383151,Credit,7723.51,Failed,Transaction timeout
TXN702298,CHBR05,Chennai,2025-04-02,AC2536046,Credit,2537.3,Failed,Transaction timeout
TXN455042,CHBR05,Chennai,2025-04-02,AC9005973,Credit,865.46,Failed,Account blocked
TXN581157,CHBR05,Chennai,2025-04-02,AC1287423,Debit,2029.84,Success,Withdrawal successful
TXN789187,CHBR05,Chennai,2025-04-02,AC2328993,Credit,7868.24,Failed,Insufficient fund
TXN348045,CHBR05,Chennai,2025-04-02,AC7429803,Debit,9201.55,Failed,Insufficient fund
TXN344589,CHBR05,Chennai,2025-04-02,AC5947579,Debit,494.61,Success,Withdrawal successful
TXN415203,CHBR05,Chennai,2025-04-02,AC9020796,Debit,615.89,Failed,Transaction timeout
TXN578095,CHBR05,Chennai,2025-04-02,AC4623166,Credit,4109.97,Failed,Account blocked
TXN863502,CHBR05,Chennai,2025-04-02,AC2489335,Debit,1599.5,Failed,Insufficient fund
TXN385559,CHBR05,Chennai,2025-04-02,AC1543136,Credit,9673.44,Failed,Account blocked
TXN669719,CHBR05,Chennai,2025-04-02,AC3012071,Credit,9695.66,Failed,Account blocked
TXN862815,CHBR05,Chennai,2025-04-02,AC9598336,Debit,2165.99,Failed,Account blocked
TXN263767,CHBR05,Chennai,2025-04-02,AC7193158,Debit,8632.82,Success,Amount credited
TXN404138,CHBR05,Chennai,2025-04-02,AC1246518,Credit,3079.11,Failed,Insufficient fund
TXN668626,CHBR05,Chennai,2025-04-02,AC9998515,Debit,4289.39,Failed,Account blocked
TXN234546,CHBR05,Chennai,2025-04-02,AC8109563,Debit,9144.23,Success,Amount credited
TXN933358,CHBR05,Chennai,2025-04-02,AC1981705,Credit,7081.06,Success,Withdrawal successful
TXN233002,CHBR05,Chennai,2025-04-02,AC6670411,Debit,4487.25,Success,Payment received
TXN606619,CHBR05,Chennai,2025-04-02,AC5909898,Debit,1844.28,Failed,Insufficient fund
TXN656061,CHBR05,Chennai,2025-04-02,AC9148984,Credit,1875.58,Failed,Transaction timeout
TXN155535,CHBR05,Chennai,2025-04-02,AC1594518,Credit,1018.57,Success,Amount credited
