transaction_id,branch_id,city,date,account_no,txn_type,amount,status,remarks
TXN941899,DEBR04,Delhi,2025-04-01,AC7872908,Debit,8523.09,Failed,Account blocked
TXN838593,DEBR04,Delhi,2025-04-01,AC2133150,Debit,8954.6,Success,Payment received
TXN239806,DEBR04,Delhi,2025-04-01,AC6185890,Debit,1746.57,Failed,Account blocked
TXN770291,DEBR04,Delhi,2025-04-01,AC6904742,Credit,9268.39,Success,Amount credited
TXN165894,DEBR04,Delhi,2025-04-01,AC6217434,Credit,2880.64,Success,Withdrawal successful
TXN570209,DEBR04,Delhi,2025-04-01,AC1677892,Credit,7658.59,Failed,Transaction timeout
TXN521455,DEBR04,Delhi,2025-04-01,AC4246040,Debit,5911.53,Failed,Account blocked
TXN739096,DEBR04,Delhi,2025-04-01,AC6059218,Debit,1766.82,Success,Amount credited
TXN284431,DEBR04,Delhi,2025-04-01,AC2425517,Credit,5210.88,Failed,Account blocked
TXN821131,DEBR04,Delhi,2025-04-01,AC4450077,Debit,6096.26,Failed,Insufficient fund
TXN494317,DEBR04,Delhi,2025-04-01,AC3916293,Credit,3589.59,Success,Amount credited
TXN400563,DEBR04,Delhi,2025-04-01,AC3220420,Credit,5869.22,Failed,Transaction timeout
TXN472847,DEBR04,Delhi,2025-04-01,AC8155127,Credit,1665.45,Failed,Account blocked
TXN988341,DEBR04,Delhi,2025-04-01,AC1382202,Credit,526.51,Failed,Account blocked
TXN725904,DEBR04,Delhi,2025-04-01,AC9665172,Debit,654.91,Failed,Transaction timeout
TXN816728,DEBR04,Delhi,2025-04-01,AC2062191,Debit,1080.14,Success,Amount credited
TXN852887,DEBR04,Delhi,2025-04-01,AC9463921,Credit,9847.87,Failed,Account blocked
TXN549435,DEBR04,Delhi,2025-04-01,AC1214544,Debit,3799.99,Failed,Account blocked
TXN870950,DEBR04,Delhi,2025-04-01,AC5213885,Debit,2954.4,Success,Payment received
TXN428797,DEBR04,Delhi,2025-04-01,AC5192366,Debit,3887.12,Failed,Insufficient fund
TXN671646,DEBR04,Delhi,2025-04-01,AC3475359,Credit,1500.9,Failed,Account blocked
TXN258675,DEBR04,Delhi,2025-04-01,AC9639243,Debit,399.91,Success,Payment received
TXN857942,DEBR04,Delhi,2025-04-01,AC6478681,Debit,1546.15,Failed,Transaction timeout
TXN347140,DEBR04,Delhi,2025-04-01,AC7056275,Debit,8281.19,Success,Payment received
TXN486277,DEBR04,Delhi,2025-04-01,AC7058114,Debit,8793.21,Success,Payment received
TXN756051,DEBR04,Delhi,2025-04-01,AC9041335,Debit,1977.07,Success,Withdrawal successful
TXN113008,DEBR04,Delhi,2025-04-01,AC4088543,Credit,7067.84,Failed,Transaction timeout
TXN771094,DEBR04,Delhi,2025-04-01,AC1242990,Credit,5985.1,Success,Withdrawal successful
TXN386842,DEBR04,Delhi,2025-04-01,AC1023139,Credit,3758.06,Success,Payment received
TXN461338,DEBR04,Delhi,2025-04-01,AC3826723,Credit,3327.66,Failed,Transaction timeout
TXN337521,DEBR04,Delhi,2025-04-01,AC9937191,Credit,3214.79,Success,Payment received
TXN718319,DEBR04,Delhi,2025-04-01,AC6155903,Debit,5861.89,Success,Payment received
TXN499122,DEBR04,Delhi,2025-04-01,AC4225504,Credit,5621.65,Failed,Transaction timeout
TXN282050,DEBR04,Delhi,2025-04-01,AC1590106,Debit,5276.17,Failed,Account blocked
TXN729252,DEBR04,Delhi,2025-04-01,AC1187859,Debit,5186.29,Success,Withdrawal successful
TXN596336,DEBR04,Delhi,2025-04-01,AC4726211,Credit,1739.33,Failed,Insufficient fund
