transaction_id,branch_id,city,date,account_no,txn_type,amount,status,remarks
TXN164262,MUBR05,Mumbai,2025-04-01,AC6802313,Credit,650.63,Success,Amount credited
TXN328476,MUBR05,Mumbai,2025-04-01,AC1927872,Debit,6505.39,Success,Amount credited
TXN597286,MUBR05,Mumbai,2025-04-01,AC8900019,Credit,8895.45,Success,Payment received
TXN720097,MUBR05,Mumbai,2025-04-01,AC3283370,Debit,8139.01,Failed,Transaction timeout
TXN509279,MUBR05,Mumbai,2025-04-01,AC2624896,Debit,8043.94,Success,Amount credited
TXN176746,MUBR05,Mumbai,2025-04-01,AC3696639,Credit,1686.76,Failed,Transaction timeout
TXN551397,MUBR05,Mumbai,2025-04-01,AC6449400,Debit,2082.46,Success,Payment received
TXN138882,MUBR05,Mumbai,2025-04-01,AC2758686,Debit,9046.2,Failed,Transaction timeout
TXN202887,MUBR05,Mumbai,2025-04-01,AC8213664,Credit,127.1,Success,Withdrawal successful
TXN423108,MUBR05,Mumbai,2025-04-01,AC6049491,Credit,4949.46,Failed,Insufficient fund
TXN743036,MUBR05,Mumbai,2025-04-01,AC2863296,Debit,1365.45,Failed,Insufficient fund
TXN324786,MUBR05,Mumbai,2025-04-01,AC2286553,Credit,2452.45,Success,Withdrawal successful
TXN168413,MUBR05,Mumbai,2025-04-01,AC9874402,Debit,1680.71,Failed,Account blocked
TXN518072,MUBR05,Mumbai,2025-04-01,AC3528104,Debit,9389.42,Failed,Account blocked
TXN672901,MUBR05,Mumbai,2025-04-01,AC4083711,Debit,4815.11,Failed,Account blocked
TXN538578,MUBR05,Mumbai,2025-04-01,AC3082409,Debit,634.6,Failed,Insufficient fund
TXN733714,MUBR05,Mumbai,2025-04-01,AC2047272,Credit,4885.45,Failed,Account blocked
TXN916363,MUBR05,Mumbai,2025-04-01,AC6854746,Debit,9680.16,Failed,Insufficient fund
TXN563710,MUBR05,Mumbai,2025-04-01,AC8862719,Debit,9579.73,Failed,Transaction timeout
TXN908206,MUBR05,Mumbai,2025-04-01,AC7785104,Credit,9233.27,Failed,Account blocked
TXN974685,MUBR05,Mumbai,2025-04-01,AC4103054,Credit,7156.42,Success,Payment received
